loss,learning_rate
1.0752979616324108,4.0130795907200264e-05
1.0741444875796635,4.0133252001083334e-05
1.076265464226405,4.0135730938102967e-05
1.0761129632592201,4.01382327181412e-05
1.0778564289212227,4.014075734107899e-05
1.0728479325771332,4.01433048067962e-05
1.075348290304343,4.01458751151713e-05
1.0703575710455577,4.014846826608221e-05
1.0745559533437092,4.015108425940543e-05
1.0733333975076675,4.015372309501639e-05
1.0752606069048245,4.0156384772789436e-05
1.0726236999034882,4.0159069292597816e-05
1.0716870551307995,4.016177665431403e-05
1.0720149651169777,4.0164506857808956e-05
1.0667306706309319,4.016725990295248e-05
1.0722796445091565,4.0170035789613965e-05
1.0737533619006474,4.0172834517660915e-05
1.0722128252188365,4.017565608696041e-05
1.0666819562514622,4.017850049737768e-05
1.0737196877598763,4.0181367748777855e-05
1.070348046720028,4.0184257841024e-05
1.0682381093502045,4.018717077397874e-05
1.063740074634552,4.019010654750352e-05
1.0668882727622986,4.019306516145837e-05
1.0628657415509224,4.0196046615702556e-05
1.06837098300457,4.019905091009416e-05
1.064561588068803,4.0202078044490174e-05
1.06838275740544,4.02051280187464e-05
1.0642208109299343,4.020820083271777e-05
1.0677349294225376,4.021129648625803e-05
1.0631952360272408,4.021441497921972e-05
1.0617832963665326,4.02175563114542e-05
1.0672128945589066,4.02207204828124e-05
1.0606483966112137,4.022390749314339e-05
1.0640697752436001,4.022711734229549e-05
1.0600842982530594,4.0230350030115935e-05
1.0636334468921025,4.0233605556450774e-05
1.0610243876775105,4.023688392114518e-05
1.0577361409862835,4.024018512404292e-05
1.0565736542145412,4.0243509164987e-05
1.0574339057008426,4.024685604381913e-05
1.0582953169941902,4.025022576037993e-05
1.0570380712548892,4.0253618314509045e-05
1.053944207727909,4.025703370604493e-05
1.0526125927766163,4.0260471934825065e-05
1.0511020918687184,4.0263933000685734e-05
1.0563027386864026,4.0267416903462245e-05
1.055853471159935,4.027092364298861e-05
1.058230608701706,4.0274453219098184e-05
1.048121487100919,4.027800563162259e-05
1.0513696397344272,4.0281580880393024e-05
1.0508717869718869,4.028517896523904e-05
1.055849922200044,4.028879988598956e-05
1.0434538821379344,4.029244364247219e-05
1.0459395224849384,4.0296110234513244e-05
1.0444214344024658,4.029979966193849e-05
1.0549725741147995,4.0303511924572066e-05
1.0446131204565365,4.030724702223747e-05
1.0483641028404236,4.031100495475678e-05
1.0488380044698715,4.0314785721951e-05
1.0398327161868413,4.031858932364047e-05
1.0446535473068554,4.0322415759643914e-05
1.0442677388588588,4.032626502977897e-05
1.048297221461932,4.033013713386274e-05
1.0471633300185204,4.033403207171079e-05
1.034073571364085,4.0337949843137835e-05
1.0329569056630135,4.034189044795707e-05
1.0411645198861759,4.0345853885981136e-05
1.034310298661391,4.034984015702139e-05
1.0343534176548321,4.0353849260887985e-05
1.036237046122551,4.035788119738999e-05
1.025606354077657,4.036193596633562e-05
1.0319810062646866,4.0366013567531877e-05
1.0280457784732182,4.0370114000784366e-05
1.0361069614688556,4.037423726589826e-05
1.0238869066039722,4.03783833626772e-05
1.034297692279021,4.038255229092376e-05
1.0282578617334366,4.038674405043921e-05
1.0190411483248074,4.0390958641024484e-05
1.0174295182029407,4.039519606247879e-05
1.0286976993083954,4.0399456314600245e-05
1.0220927347739537,4.040373939718622e-05
1.0169514591495197,4.040804531003277e-05
1.0255588913957279,4.041237405293476e-05
1.020539532105128,4.041672562568664e-05
1.0154781366388004,4.0421100028080665e-05
1.0190601646900177,4.042549725990889e-05
1.0164300029476483,4.042991732096195e-05
1.016206830739975,4.0434360211029515e-05
1.0119874129692714,4.043882592989995e-05
1.0081903462608655,4.044331447736085e-05
1.0136587123076122,4.0447825853198315e-05
1.011006511747837,4.045236005719777e-05
1.0046779215335846,4.0456917089143254e-05
1.0165179148316383,4.0461496948817916e-05
1.007739245891571,4.046609963600373e-05
1.0144970988233883,4.047072515048168e-05
1.0115588282545407,4.047537349203135e-05
1.0088036532203357,4.0480044660431676e-05
1.006056768198808,4.0484738655460284e-05
0.9997581789890925,4.048945547689361e-05
0.9895437906185786,4.0494195124507015e-05
1.0132082055012386,4.0498957598075194e-05
1.0020869647463162,4.0503742897371226e-05
1.0087770745158195,4.050855102216732e-05
0.9937476242582003,4.051338197223471e-05
1.0022743841012318,4.0518235747343326e-05
1.0018391385674477,4.052311234726213e-05
0.9962902143597603,4.052801177175909e-05
1.0047823935747147,4.0532934020600796e-05
0.9908834720651308,4.053787909355294e-05
0.988476112484932,4.054284699038036e-05
0.9852948933839798,4.054783771084637e-05
0.975260816514492,4.0552851254713434e-05
0.9939526071151098,4.055788762174291e-05
0.9817904929320017,4.056294681169497e-05
0.9867826377352079,4.0568028824328824e-05
0.9737793281674385,4.0573133659402684e-05
0.9920642301440239,4.057826131667337e-05
1.0029700621962547,4.058341179589682e-05
0.965928333501021,4.0588585096828014e-05
0.9736038496096929,4.059378121922051e-05
0.9682367915908495,4.0599000162826995e-05
0.9834151615699133,4.0604241927399086e-05
0.9728306556741396,4.060950651268709e-05
0.9644009098410606,4.061479391844066e-05
0.9643426264325777,4.062010414440794e-05
0.9761815592646599,4.0625437190336205e-05
0.9660193944970766,4.063079305597142e-05
0.9651635885238647,4.063617174105891e-05
0.9833132848143578,4.064157324534248e-05
0.9613878255089124,4.064699756856495e-05
0.964223213493824,4.0652444710468174e-05
0.977229172984759,4.0657914670792815e-05
0.9666375070810318,4.0663407449278554e-05
0.9731765116254488,4.066892304566377e-05
0.9902231047550837,4.06744614596862e-05
0.972127283612887,4.068002269108184e-05
0.9540925646821657,4.068560673958625e-05
0.9691533992687861,4.069121360493336e-05
0.9703779319922129,4.069684328685658e-05
0.9717614849408468,4.0702495785087454e-05
0.9608965739607811,4.0708171099357424e-05
0.9390689680973688,4.071386922939609e-05
0.9584604799747467,4.071959017493208e-05
0.9513213659326235,4.0725333935693144e-05
0.9571892569462458,4.073110051140607e-05
0.9498982628186544,4.073688990179612e-05
0.966426911453406,4.0742702106587574e-05
0.9605044101675352,4.0748537125504187e-05
0.955985335012277,4.075439495826775e-05
0.9613627220193545,4.0760275604599834e-05
0.9386966948707899,4.076617906422018e-05
0.9532499139507612,4.077210533684776e-05
0.9545747016867002,4.077805442220068e-05
0.9493560890356699,4.0784026319995535e-05
0.9391012539466222,4.079002102994826e-05
0.960770050684611,4.079603855177338e-05
0.929982103407383,4.080207888518424e-05
0.9408121084173521,4.080814202989374e-05
0.9435662105679512,4.081422798561283e-05
0.9351981456081072,4.082033675205214e-05
0.9329293047388395,4.082646832892056e-05
0.9417469277977943,4.0832622715926436e-05
0.9322929258147875,4.0838799912776605e-05
0.9489703054229418,4.0844999919177356e-05
0.937543494005998,4.085122273483313e-05
0.9597281043728193,4.085746835944795e-05
0.9411789129177729,4.086373679272452e-05
0.936650238931179,4.087002803436436e-05
0.9299734408656756,4.0876342084068015e-05
0.9335645710428556,4.0882678941534835e-05
0.9195290803909302,4.08890386064633e-05
0.9348700518409411,4.089542107855071e-05
0.9432219962279002,4.090182635749294e-05
0.927049420773983,4.0908254442985326e-05
0.942185843984286,4.091470533472191e-05
0.9226466367642084,4.092117903239543e-05
0.9531892761588097,4.0927675535697866e-05
0.922956625620524,4.093419484431978e-05
0.9207677394151688,4.0940736957951205e-05
0.9418002689878145,4.094730187628021e-05
0.9243173052867254,4.095388959899466e-05
0.9145342434446017,4.096050012578089e-05
0.9518632764617602,4.096713345632405e-05
0.9253244871894518,4.097378959030875e-05
0.9363842755556107,4.098046852741774e-05
0.9402705902854601,4.098717026733314e-05
0.9263342221577963,4.099389480973609e-05
0.9219303503632545,4.100064215430642e-05
0.918730524679025,4.100741230072288e-05
0.9272352904081345,4.101420524866325e-05
0.9089269985755285,4.1021020997804216e-05
0.9235512663920721,4.102785954782117e-05
0.9096777066588402,4.103472089838863e-05
0.9439416453242302,4.1041605049180045e-05
0.9059058626492819,4.104851199986787e-05
0.9114440952738126,4.105544175012283e-05
0.9220015456279119,4.106239429961544e-05
0.9016905178626379,4.1069369648014586e-05
0.9292779887715975,4.1076367794988283e-05
0.9296712204813957,4.1083388740203466e-05
0.9145598039031029,4.1090432483325656e-05
0.9259439284602801,4.1097499024019836e-05
0.8976416091124216,4.110458836194947e-05
0.908631165822347,4.1111700496777154e-05
0.9264608472585678,4.111883542816418e-05
0.9128955602645874,4.11259931557712e-05
0.9025752767920494,4.113317367925712e-05
0.9063175792495409,4.1140376998280415e-05
0.9101578444242477,4.1147603112498044e-05
0.9072066570321718,4.115485202156599e-05
0.9095152194301287,4.116212372513937e-05
0.8960181226332983,4.116941822287178e-05
0.9103002349535624,4.1176735514416164e-05
0.8910924941301346,4.1184075599423955e-05
0.9028491179148356,4.119143847754615e-05
0.8975031574567159,4.1198824148432e-05
0.9072039450208346,4.1206232611729694e-05
0.8935154688855013,4.1213663867087184e-05
0.8905535986026129,4.1221117914150155e-05
0.8970845118165016,4.122859475256396e-05
0.9233329345782598,4.1236094381972665e-05
0.8977882787585258,4.124361680201934e-05
0.8822677955031395,4.125116201234588e-05
0.8917891904711723,4.125873001259309e-05
0.9004813209176064,4.1266320802400575e-05
0.8752235646049181,4.127393438140719e-05
0.9173893307646116,4.128157074925038e-05
0.8967328369617462,4.1289229905566716e-05
0.9134910975893339,4.1296911849991475e-05
0.8727203334371249,4.130461658215917e-05
0.9171707704663277,4.1312344101702915e-05
0.8829404587546984,4.132009440825472e-05
0.8640975579619408,4.132786750144597e-05
0.9007064253091812,4.13356633809064e-05
0.8923290967941284,4.1343482046264884e-05
0.9031375423073769,4.1351323497149334e-05
0.8886774169902006,4.1359187733186345e-05
0.9123050769170126,4.136707475400176e-05
0.8747010976076126,4.1374984559220014e-05
0.9017073139548302,4.138291714846467e-05
0.8634518757462502,4.139087252135788e-05
0.870409702261289,4.139885067752126e-05
0.9025987548132738,4.1406851616574694e-05
0.9038589025537173,4.141487533813762e-05
0.900444358587265,4.142292184182775e-05
0.8705538076659044,4.143099112726236e-05
0.8873764177163442,4.1439083194057106e-05
0.8852819403012594,4.144719804182709e-05
0.8866510366400083,4.145533567018558e-05
0.8904754966497421,4.146349607874562e-05
0.8899597947796186,4.147167926711831e-05
0.8893489961822828,4.147988523491453e-05
0.8717244627575079,4.148811398174343e-05
0.8988208969434103,4.149636550721339e-05
0.8868314822514852,4.150463981093149e-05
0.8777770300706228,4.151293689250396e-05
0.8998391851782799,4.1521256751535815e-05
0.891465841482083,4.1529599387631e-05
0.9005866423249245,4.153796480039216e-05
0.8928852366904417,4.154635298942149e-05
0.8904677629470825,4.155476395431936e-05
0.8619823244710764,4.1563197694685595e-05
0.8809715745349725,4.157165421011849e-05
0.8726559629042944,4.15801335002157e-05
0.8912010925511519,4.158863556457358e-05
0.8634658480683962,4.1597160402787286e-05
0.8654291828473409,4.160570801445089e-05
0.8892989953358968,4.161427839915793e-05
